fips,county_name,county_CAP
19001,Adair,ADAIR
19003,Adams,ADAMS
19005,Allamakee,ALLAMAKEE
19007,Appanoose,APPANOOSE
19009,Audubon,AUDUBON
19011,Benton,BENTON
19013,Black Hawk,BLACKHAWK
19015,Boone,BOONE
19017,Bremer,BREMER
19019,Buchanan,BUCHANAN
19021,Buena Vista,BUENAVISTA
19023,Butler,BUTLER
19025,Calhoun,CALHOUN
19027,Carroll,CARROLL
19029,Cass,CASS
19031,Cedar,CEDAR
19033,Cerro Gordo,CERROGORDO
19035,Cherokee,CHEROKEE
19037,Chickasaw,CHICKASAW
19039,Clarke,CLARKE
19041,Clay,CLAY
19043,Clayton,CLAYTON
19045,Clinton,CLINTON
19047,Crawford,CRAWFORD
19049,Dallas,DALLAS
19051,Davis,DAVIS
19053,Decatur,DECATUR
19055,Delaware,DELAWARE
19057,Des Moines,DESMOINES
19059,Dickinson,DICKINSON
19061,Dubuque,DUBUQUE
19063,Emmet,EMMET
19065,Fayette,FAYETTE
19067,Floyd,FLOYD
19069,Franklin,FRANKLIN
19071,Fremont,FREMONT
19073,Greene,GREENE
19075,Grundy,GRUNDY
19077,Guthrie,GUTHRIE
19079,Hamilton,HAMILTON
19081,Hancock,HANCOCK
19083,Hardin,HARDIN
19085,Harrison,HARRISON
19087,Henry,HENRY
19089,Howard,HOWARD
19091,Humboldt,HUMBOLDT
19093,Ida,IDA
19095,Iowa,IOWA
19097,Jackson,JACKSON
19099,Jasper,JASPER
19101,Jefferson,JEFFERSON
19103,Johnson,JOHNSON
19105,Jones,JONES
19107,Keokuk,KEOKUK
19109,Kossuth,KOSSUTH
19111,Lee,LEE
19113,Linn,LINN
19115,Louisa,LOUISA
19117,Lucas,LUCAS
19119,Lyon,LYON
19121,Madison,MADISON
19123,Mahaska,MAHASKA
19125,Marion,MARION
19127,Marshall,MARSHALL
19129,Mills,MILLS
19131,Mitchell,MITCHELL
19133,Monona,MONONA
19135,Monroe,MONROE
19137,Montgomery,MONTGOMERY
19139,Muscatine,MUSCATINE
19141,O'Brien,OBRIEN
19143,Osceola,OSCEOLA
19145,Page,PAGE
19147,Palo Alto,PALOALTO
19149,Plymouth,PLYMOUTH
19151,Pocahontas,POCAHONTAS
19153,Polk,POLK
19155,Pottawattamie,POTTAWATTAMIE
19157,Poweshiek,POWESHIEK
19159,Ringgold,RINGGOLD
19161,Sac,SAC
19163,Scott,SCOTT
19165,Shelby,SHELBY
19167,Sioux,SIOUX
19169,Story,STORY
19171,Tama,TAMA
19173,Taylor,TAYLOR
19175,Union,UNION
19177,Van Buren,VANBUREN
19179,Wapello,WAPELLO
19181,Warren,WARREN
19183,Washington,WASHINGTON
19185,Wayne,WAYNE
19187,Webster,WEBSTER
19189,Winnebago,WINNEBAGO
19191,Winneshiek,WINNESHIEK
19193,Woodbury,WOODBURY
19195,Worth,WORTH
19197,Wright,WRIGHT
