fips,county,county seat,area sq mi,dichotomous character,dichotomous number,integer,numeric,percent label,nominal
19001,Adair,Greenfield,569,No,1,8,0.391304348,39%,Mountain Dew
19003,Adams,Corning,424,No,1,5,0.164179104,16%,Squirt
19005,Allamakee,Waukon,640,Yes,1,9,0.292792793,29%,Mountain Dew
19007,Appanoose,Centerville,496,No,0,2,0.22962963,23%,Coke
19009,Audubon,Audubon,443,Yes,1,7,0.365384615,37%,Squirt
19011,Benton,Vinton,716,No,1,2,0.197014925,20%,Sprite
19013,Black Hawk,Waterloo,567,No,0,1,0.25732899,26%,Squirt
19015,Boone,Boone,572,No,1,1,0.201581028,20%,Pepsi
19017,Bremer,Waverly,428,Yes,1,5,0.0625,6%,Coke
19019,Buchanan,Independence,571,Yes,1,2,0.170886076,17%,Coke
19021,Buena Vista,Storm Lake,575,Yes,0,3,0.252427184,25%,Mountain Dew
19023,Butler,Allison,580,Yes,0,8,0.146341463,15%,Pepsi
19025,Calhoun,Rockwell City,570,Yes,1,8,0.152542373,15%,Mountain Dew
19027,Carroll,Carroll,569,Yes,0,7,0.083333333,8%,Squirt
19029,Cass,Atlantic,564,Yes,,7,0.270491803,27%,Mountain Dew
19031,Cedar,Tipton,580,Yes,1,9,0.119791667,12%,Squirt
19033,Cerro Gordo,Mason City,568,No,1,4,0.253333333,25%,Mountain Dew
19035,Cherokee,Cherokee,577,Yes,1,3,0.283783784,28%,Sprite
19037,Chickasaw,New Hampton,505,Yes,1,2,0.16080402,16%,Sprite
19039,Clarke,Osceola,431,Yes,0,8,0.425373134,43%,Mountain Dew
19041,Clay,Spencer,569,Yes,0,5,0.163636364,16%,Mountain Dew
19043,Clayton,Elkader,779,,1,6,0.174129353,17%,Mountain Dew
19045,Clinton,Clinton,695,,1,10,0.221532091,22%,Coke
19047,Crawford,Denison,714,No,1,4,0.570934256,57%,Coke
19049,Dallas,Adel,586,No,1,10,0.104526749,10%,Mountain Dew
19051,Davis,Bloomfield,503,No,0,2,0.176470588,18%,Pepsi
19053,Decatur,Leon,532,No,1,10,0.14,14%,Squirt
19055,Delaware,Manchester,578,No,0,3,0.236966825,24%,Squirt
19057,Des Moines,Burlington,416,No,1,3,0.191176471,19%,Mountain Dew
19059,Dickinson,Spirit Lake,381,No,0,4,0.060747664,6%,Squirt
19061,Dubuque,Dubuque,608,No,1,8,0.138582677,14%,Pepsi
19063,Emmet,Estherville,396,Yes,1,10,0.296703297,30%,Mountain Dew
19065,Fayette,West Union,731,No,0,9,0.21192053,21%,Mountain Dew
19067,Floyd,Charles City,501,No,0,4,0.201834862,20%,Pepsi
